order_id,line_no,customer_id,material_code,quantity,unit_price,order_date,ship_to_city
SO-100021,3,C1004,MAT-1017,1,310.00,2026-07-09,Diyarbakýr
SO-100021,4,C1004,MAT-1003,40,62.00,2026-07-09,Diyarbakýr
SO-100022,1,C1007,MAT-1004,8,1.85,07.07.2026,Aðrý
SO-100022,2,C1007,MAT-1003,25,62.00,07.07.2026,Aðrý
SO-100022,3,C1007,MAT-1007,3,410.00,07.07.2026,Aðrý
SO-100023,1,C1018,MAT-1009,100,22.50,2026-07-17,Ýzmir
SO-100024,1,C1014,MAT-1002,20,89.75,07/11/2026,Nevþehir
SO-100024,2,C1014,MAT-1004,50,1.85,07/11/2026,Nevþehir
SO-100024,3,C1014,MAT-1018,10,94.60,07/11/2026,Nevþehir
SO-100025,1,C1005,MAT-1018,3,94.60,2026-07-16,Çorum
SO-100025,2,C1005,MAT-1012,3,58.30,2026-07-16,Çorum
SO-100025,3,C1005,MAT-1006,25,128.90,2026-07-16,Çorum
SO-100025,4,C1005,MAT-1008,100,76.40,2026-07-16,Çorum
SO-100026,1,C1010,MAT-1003,1,62.00,06.07.2026,Kütahya
SO-100026,2,C1010,MAT-1017,100,310.00,06.07.2026,Kütahya
SO-100026,3,C1010,MAT-1001,3,145.50,06.07.2026,Kütahya
SO-100027,1,C1005,MAT-1008,3,76.40,2026-07-18,Þanlýurfa
SO-100028,1,C1008,MAT-1018,5,94.60,2026-07-29,Çorum
SO-100028,2,C1008,MAT-1004,25,1.85,2026-07-29,Çorum
SO-100028,3,C1008,MAT-1013,8,295.00,2026-07-29,Çorum
SO-100028,4,C1008,MAT-1017,3,310.00,2026-07-29,Çorum
SO-100029,1,C1007,MAT-1014,150,67.80,2026-07-10,Aðrý
SO-100029,2,C1007,MAT-1010,1,4.60,2026-07-10,Aðrý
SO-100029,3,C1007,MAT-1007,25,410.00,2026-07-10,Aðrý
SO-100029,4,C1007,MAT-1006,1,128.90,2026-07-10,Aðrý
SO-100030,1,C1010,MAT-1014,20,67.80,05.07.2026,Ýstanbul
SO-100031,1,C1005,MAT-1017,1,310.00,2026-07-18,Çorum
SO-100031,2,C1005,MAT-1016,20,185.00,2026-07-18,Çorum
SO-100031,3,C1005,MAT-1004,1,1.85,2026-07-18,Çorum
SO-100032,1,C1014,MAT-1013,25,295.00,2026-07-04,Þanlýurfa
SO-100033,1,C1018,MAT-1017,12,310.00,2026-07-11,Nevþehir
SO-100033,2,C1018,MAT-1005,10,34.20,2026-07-11,Nevþehir
SO-100033,3,C1018,MAT-1012,3,58.30,2026-07-11,Nevþehir
SO-100034,1,C1013,MAT-1015,20,41.25,07/26/2026,Çorum
SO-100034,2,C1013,MAT-1013,50,295.00,07/26/2026,Çorum
SO-100034,3,C1013,MAT-1018,100,94.60,07/26/2026,Çorum
SO-100035,1,C1004,MAT-1014,2,67.80,07/13/2026,Nevþehir
SO-100035,2,C1004,MAT-1006,100,128.90,07/13/2026,Nevþehir
SO-100036,1,C1001,MAT-1017,25,310.00,2026-07-14,Diyarbakýr
SO-100036,2,C1001,MAT-1004,12,1.85,2026-07-14,Diyarbakýr
SO-100037,1,C1004,MAT-1009,25,22.50,2026-07-19,Muðla
SO-100037,2,C1004,MAT-1013,50,295.00,2026-07-19,Muðla
SO-100037,3,C1004,MAT-1016,3,185.00,2026-07-19,Muðla
SO-100038,1,C1014,MAT-1005,1,34.20,2026-07-03,Ýstanbul
SO-100038,2,C1014,MAT-1012,3,58.30,2026-07-03,Ýstanbul
SO-100038,3,C1014,MAT-1017,12,310.00,2026-07-03,Ýstanbul
SO-100039,1,C1004,MAT-1017,150,310.00,09.07.2026,Kütahya
SO-100039,2,C1004,MAT-1002,20,89.75,09.07.2026,Kütahya
SO-100039,3,C1004,MAT-1016,8,185.00,09.07.2026,Kütahya
SO-100039,4,C1004,MAT-1005,3,34.20,09.07.2026,Kütahya
SO-100040,1,C1010,MAT-1009,50,22.50,2026-07-13,Kýrþehir
SO-100040,2,C1010,MAT-1001,50,145.50,2026-07-13,Kýrþehir
SO-100041,1,C1015,MAT-1013,3,295.00,2026-07-04,Ýstanbul
SO-100041,2,C1015,MAT-1017,20,310.00,2026-07-04,Ýstanbul
SO-100041,3,C1015,MAT-1010,20,4.60,2026-07-04,Ýstanbul
SO-100041,4,C1015,MAT-1012,3,58.30,2026-07-04,Ýstanbul
SO-100042,1,C1013,MAT-1008,150,76.40,2026-07-21,Çorum
SO-100042,2,C1013,MAT-1010,12,4.60,2026-07-21,Çorum
SO-100043,1,C1004,MAT-1006,25,128.90,14.07.2026,Ýzmir
SO-100043,2,C1004,MAT-1015,200,41.25,14.07.2026,Ýzmir
SO-100043,3,C1004,MAT-1011,100,1250.00,14.07.2026,Ýzmir
SO-100044,1,C1008,MAT-1003,150,62.00,2026-07-02,Muðla
SO-100044,2,C1008,MAT-1005,5,34.20,2026-07-02,Muðla
SO-100044,3,C1008,MAT-1012,5,58.30,2026-07-02,Muðla
SO-100045,1,C1019,MAT-1010,200,4.60,07/07/2026,Bursa
SO-100045,2,C1019,MAT-1001,20,145.50,07/07/2026,Bursa
SO-100045,3,C1019,MAT-1007,20,410.00,07/07/2026,Bursa
SO-100045,4,C1019,MAT-1012,25,58.30,07/07/2026,Bursa
SO-100046,1,C1004,MAT-1012,8,58.30,2026-07-19,Kýrþehir
SO-100046,2,C1004,MAT-1007,3,410.00,2026-07-19,Kýrþehir
SO-100046,3,C1004,MAT-1008,40,76.40,2026-07-19,Kýrþehir
SO-100046,4,C1004,MAT-1015,1,41.25,2026-07-19,Kýrþehir
SO-100047,1,C1003,MAT-1018,50,94.60,17.07.2026,Muðla
SO-100047,2,C1003,MAT-1017,50,310.00,17.07.2026,Muðla
SO-100047,3,C1003,MAT-1015,150,41.25,17.07.2026,Muðla
SO-100047,4,C1003,MAT-1004,8,1.85,17.07.2026,Muðla
SO-100048,1,C1014,MAT-1002,10,89.75,2026-07-16,Bursa
SO-100049,1,C1016,MAT-1013,200,295.00,2026-07-04,Þanlýurfa
SO-100049,2,C1016,MAT-1018,40,94.60,2026-07-04,Þanlýurfa
SO-100049,3,C1016,MAT-1015,5,41.25,2026-07-04,Þanlýurfa
SO-100050,1,C1002,MAT-1004,10,1.85,2026-07-20,Çorum
SO-100050,2,C1002,MAT-1016,1,185.00,2026-07-20,Çorum
SO-100051,1,C1011,MAT-1007,200,410.00,2026-07-24,Ýzmir
SO-100051,2,C1011,MAT-1014,3,67.80,2026-07-24,Ýzmir
SO-100051,3,C1011,MAT-1004,100,1.85,2026-07-24,Ýzmir
SO-100052,1,C1007,MAT-1015,150,41.25,24.07.2026,Diyarbakýr
SO-100052,2,C1007,MAT-1010,25,4.60,24.07.2026,Diyarbakýr
SO-100052,3,C1007,MAT-1013,40,295.00,24.07.2026,Diyarbakýr
SO-100053,1,C1002,MAT-1006,2,128.90,2026-07-12,Ýzmir
SO-100053,2,C1002,MAT-1004,25,1.85,2026-07-12,Ýzmir
SO-100053,3,C1002,MAT-1005,40,34.20,2026-07-12,Ýzmir
SO-100054,1,C1014,MAT-1002,12,89.75,2026-07-19,Çorum
SO-100054,2,C1014,MAT-1003,100,62.00,2026-07-19,Çorum
SO-100054,3,C1014,MAT-1018,12,94.60,2026-07-19,Çorum
SO-100055,1,C1015,MAT-1003,8,62.00,2026-07-03,Bursa
SO-100055,2,C1015,MAT-1001,25,145.50,2026-07-03,Bursa
SO-100055,3,C1015,MAT-1014,2,67.80,2026-07-03,Bursa
SO-100055,4,C1015,MAT-1005,25,34.20,2026-07-03,Bursa
SO-100056,1,C1005,MAT-1018,150,94.60,2026-07-20,Bursa
SO-100056,2,C1005,MAT-1006,150,128.90,2026-07-20,Bursa
SO-100056,3,C1005,MAT-1004,40,1.85,2026-07-20,Bursa
SO-100056,4,C1005,MAT-1007,40,410.00,2026-07-20,Bursa
SO-100057,1,C1013,MAT-1003,20,62.00,2026-07-17,Ýstanbul
SO-100058,1,C1008,MAT-1016,5,185.00,07/07/2026,Þanlýurfa
SO-100058,2,C1008,MAT-1013,200,295.00,07/07/2026,Þanlýurfa
SO-100058,3,C1008,MAT-1018,2,94.60,07/07/2026,Þanlýurfa
SO-100059,1,C1019,MAT-1018,8,94.60,2026-07-13,Diyarbakýr
SO-100059,2,C1019,MAT-1006,12,128.90,2026-07-13,Diyarbakýr
SO-100059,3,C1019,MAT-1014,20,67.80,2026-07-13,Diyarbakýr
SO-100060,1,C1011,MAT-1006,12,128.90,2026-07-14,Bursa
SO-100060,2,C1011,MAT-1013,150,295.00,2026-07-14,Bursa
SO-100061,1,C1003,MAT-1015,20,41.25,2026-07-02,Kütahya
SO-100061,1,C1003,MAT-1015,20,41.25,2026-07-02,Kütahya
SO-100061,2,C1003,MAT-1006,25,128.90,2026-07-02,Kütahya
SO-100061,3,C1003,MAT-1013,5,295.00,2026-07-02,Kütahya
SO-100061,4,C1003,MAT-1007,150,410.00,2026-07-02,Kütahya
SO-100062,1,C1018,MAT-1007,1,410.00,2026-07-12,Aðrý
SO-100062,2,C1018,MAT-1015,100,41.25,2026-07-12,Aðrý
SO-100063,1,C1009,MAT-1016,12,185.00,29.07.2026,Muðla
SO-100063,2,C1009,MAT-1014,200,67.80,29.07.2026,Muðla
SO-100064,1,C1015,MAT-1002,50,89.75,30.07.2026,Muðla
SO-100064,2,C1015,MAT-1001,25,145.50,30.07.2026,Muðla
SO-100064,3,C1015,MAT-1017,150,310.00,30.07.2026,Muðla
SO-100065,1,C1009,MAT-1008,5,76.40,2026-07-01,Nevþehir
SO-100065,2,C1009,MAT-1015,200,41.25,2026-07-01,Nevþehir
SO-100066,1,C1001,MAT-1018,50,94.60,11.07.2026,Aðrý
SO-100066,2,C1001,MAT-1013,50,295.00,11.07.2026,Aðrý
SO-100066,3,C1001,MAT-1005,150,34.20,11.07.2026,Aðrý
SO-100066,4,C1001,MAT-1015,10,41.25,11.07.2026,Aðrý
SO-100067,1,C1011,MAT-1007,8,410.00,2026-07-02,Çorum
SO-100067,2,C1011,MAT-1011,200,1250.00,2026-07-02,Çorum
SO-100067,3,C1011,MAT-1017,40,310.00,2026-07-02,Çorum
SO-100067,4,C1011,MAT-1002,40,89.75,2026-07-02,Çorum
SO-100068,1,C1020,MAT-1016,3,185.00,11.07.2026,Þanlýurfa
SO-100069,1,C1004,MAT-1018,200,94.60,2026-07-09,Gaziantep
SO-100069,2,C1004,MAT-1012,50,58.30,2026-07-09,Gaziantep
SO-100070,1,C1009,MAT-1008,50,76.40,2026-07-22,Ýzmir
SO-100070,2,C1009,MAT-1013,12,295.00,2026-07-22,Ýzmir
SO-100071,1,C1013,MAT-1015,2,41.25,2026-07-02,Þanlýurfa
SO-100071,2,C1013,MAT-1004,8,1.85,2026-07-02,Þanlýurfa
SO-100071,3,C1013,MAT-1005,150,34.20,2026-07-02,Þanlýurfa
SO-100072,1,C1019,MAT-1008,5,76.40,2026-07-14,Aðrý
SO-100073,1,C1013,MAT-1006,3,128.90,2026-07-08,Ýzmir
SO-100073,2,C1013,MAT-1016,3,185.00,2026-07-08,Ýzmir
SO-100074,1,C1013,MAT-1001,25,145.50,2026-07-26,Kütahya
SO-100075,1,C1020,MAT-1013,50,295.00,2026-07-14,Çorum
SO-100075,2,C1020,MAT-1017,5,310.00,2026-07-14,Çorum
SO-100075,3,C1020,MAT-1004,5,1.85,2026-07-14,Çorum
SO-100075,4,C1020,MAT-1007,150,410.00,2026-07-14,Çorum
SO-100076,1,C1019,MAT-1012,50,58.30,2026-07-23,Gaziantep
SO-100076,2,C1019,MAT-1018,40,94.60,2026-07-23,Gaziantep
SO-100076,3,C1019,MAT-1003,5,62.00,2026-07-23,Gaziantep
SO-100077,1,C1010,MAT-1002,25,89.75,2026-07-30,Aðrý
SO-100077,2,C1010,MAT-1010,20,4.60,2026-07-30,Aðrý
SO-100077,3,C1010,MAT-1004,50,1.85,2026-07-30,Aðrý
SO-100078,1,C1016,MAT-1007,2,410.00,2026-07-16,Ýstanbul
SO-100078,2,C1016,MAT-1016,8,185.00,2026-07-16,Ýstanbul
SO-100078,3,C1016,MAT-1018,25,94.60,2026-07-16,Ýstanbul
SO-100078,4,C1016,MAT-1011,5,1250.00,2026-07-16,Ýstanbul
SO-100079,1,C1014,MAT-1014,5,67.80,2026-07-28,Bursa
SO-100080,1,C1001,MAT-1009,5,22.50,2026-07-01,Þanlýurfa
SO-100081,1,C1007,MAT-1017,3,310.00,2026-07-15,Ýstanbul
SO-100081,2,C1007,MAT-1003,5,62.00,2026-07-15,Ýstanbul
SO-100081,3,C1007,MAT-1008,40,76.40,2026-07-15,Ýstanbul
SO-100082,1,C1014,MAT-1001,50,145.50,06.07.2026,Kýrþehir
SO-100082,2,C1014,MAT-1018,10,94.60,06.07.2026,Kýrþehir
SO-100083,1,C1007,MAT-1016,5,185.00,07/01/2026,Ýstanbul
SO-100084,1,C1019,MAT-1018,20,94.60,2026-07-04,Kütahya
SO-100085,1,C1013,MAT-1012,5,58.30,2026-07-15,Diyarbakýr
SO-100085,2,C1013,MAT-1013,3,295.00,2026-07-15,Diyarbakýr
SO-100085,3,C1013,MAT-1014,25,67.80,2026-07-15,Diyarbakýr
SO-100086,1,C1004,MAT-1008,1,76.40,2026-07-20,Nevþehir
SO-100086,2,C1004,MAT-1003,1,62.00,2026-07-20,Nevþehir
SO-100086,3,C1004,MAT-1001,150,145.50,2026-07-20,Nevþehir
SO-100087,1,C1019,MAT-1011,3,1250.00,27.07.2026,Kýrþehir
SO-100087,2,C1019,MAT-1015,100,41.25,27.07.2026,Kýrþehir
SO-100087,3,C1019,MAT-1010,25,4.60,27.07.2026,Kýrþehir
SO-100087,4,C1019,MAT-1008,25,76.40,27.07.2026,Kýrþehir
SO-100088,1,C1018,MAT-1003,150,62.00,2026-07-22,Þanlýurfa
SO-100089,1,C1001,MAT-1018,20,94.60,08.07.2026,Kütahya
SO-100089,2,C1001,MAT-1002,1,89.75,08.07.2026,Kütahya
SO-100089,3,C1001,MAT-1005,8,34.20,08.07.2026,Kütahya
SO-100089,4,C1001,MAT-1011,20,1250.00,08.07.2026,Kütahya
SO-100090,1,C1014,MAT-1014,100,67.80,2026-07-12,Diyarbakýr
SO-100090,2,C1014,MAT-1008,2,76.40,2026-07-12,Diyarbakýr
SO-100090,3,C1014,MAT-1004,12,1.85,2026-07-12,Diyarbakýr
SO-100091,1,C1017,MAT-1012,1,58.30,16.07.2026,Aðrý
SO-100091,2,C1017,MAT-1010,100,4.60,16.07.2026,Aðrý
SO-100092,1,C1002,MAT-1007,2,410.00,03.07.2026,Diyarbakýr
SO-100092,2,C1002,MAT-1009,3,22.50,03.07.2026,Diyarbakýr
SO-100093,1,C1018,MAT-1015,200,41.25,07/09/2026,Bursa
SO-100093,2,C1018,MAT-1014,1,67.80,07/09/2026,Bursa
SO-100093,3,C1018,MAT-1003,25,62.00,07/09/2026,Bursa
SO-100093,4,C1018,MAT-1013,150,295.00,07/09/2026,Bursa
SO-100094,1,C1016,MAT-1018,50,94.60,12.07.2026,Kütahya
SO-100094,2,C1016,MAT-1017,100,310.00,12.07.2026,Kütahya
SO-100094,3,C1016,MAT-1012,10,58.30,12.07.2026,Kütahya
SO-100095,1,C1019,MAT-1003,40,62.00,2026-07-25,Çorum
SO-100095,2,C1019,MAT-1016,50,185.00,2026-07-25,Çorum
SO-100096,1,C1019,MAT-1015,100,41.25,2026-07-21,Aðrý
SO-100097,1,C1016,MAT-1018,40,94.60,2026-07-19,Muðla
SO-100097,2,C1016,MAT-1003,200,62.00,2026-07-19,Muðla
SO-100097,3,C1016,MAT-1009,40,22.50,2026-07-19,Muðla
SO-100098,1,C1017,MAT-1009,40,22.50,2026-07-07,Ýstanbul
SO-100098,2,C1017,MAT-1005,8,34.20,2026-07-07,Ýstanbul
SO-100098,3,C1017,MAT-1012,10,58.30,2026-07-07,Ýstanbul
SO-100098,4,C1017,MAT-1018,150,94.60,2026-07-07,Ýstanbul
SO-100099,1,C1013,MAT-1009,10,22.50,2026-07-12,Çorum
SO-100099,2,C1013,MAT-1011,20,1250.00,2026-07-12,Çorum
SO-100099,3,C1013,MAT-1008,25,76.40,2026-07-12,Çorum
SO-100099,4,C1013,MAT-1012,2,58.30,2026-07-12,Çorum
SO-100100,1,C1016,MAT-1002,10,89.75,2026-07-12,Muðla
SO-100100,2,C1016,MAT-1018,1,94.60,2026-07-12,Muðla
SO-100100,3,C1016,MAT-1003,3,62.00,2026-07-12,Muðla
SO-100101,1,C1009,MAT-1012,200,58.30,23.07.2026,Kýrþehir
SO-100101,2,C1009,MAT-1004,150,1.85,23.07.2026,Kýrþehir
SO-100101,3,C1009,MAT-1017,25,310.00,23.07.2026,Kýrþehir
SO-100101,4,C1009,MAT-1002,100,89.75,23.07.2026,Kýrþehir
SO-100102,1,C1001,MAT-1005,50,34.20,2026-07-08,Çorum
SO-100102,2,C1001,MAT-1014,100,67.80,2026-07-08,Çorum
SO-100102,3,C1001,MAT-1015,25,41.25,2026-07-08,Çorum
SO-100102,4,C1001,MAT-1016,100,185.00,2026-07-08,Çorum
SO-100103,1,C1005,MAT-1005,40,34.20,03.07.2026,Muðla
SO-100104,1,C1008,MAT-1004,10,1.85,2026-07-20,Ýstanbul
SO-100104,2,C1008,MAT-1016,1,185.00,2026-07-20,Ýstanbul
SO-100104,3,C1008,MAT-1002,100,89.75,2026-07-20,Ýstanbul
SO-100104,4,C1008,MAT-1011,40,1250.00,2026-07-20,Ýstanbul
SO-100105,1,C1005,MAT-1014,150,67.80,2026-07-14,Nevþehir
SO-100106,1,C1010,MAT-1003,2,62.00,2026-07-28,Þanlýurfa
SO-100107,1,C1013,MAT-1010,20,4.60,2026-07-05,Çorum
SO-100107,2,C1013,MAT-1003,5,62.00,2026-07-05,Çorum
SO-100107,3,C1013,MAT-1009,100,22.50,2026-07-05,Çorum
SO-100107,4,C1013,MAT-1013,2,295.00,2026-07-05,Çorum
SO-100108,1,C1004,MAT-1007,2,410.00,2026-07-29,Ýstanbul
SO-100108,2,C1004,MAT-1015,50,41.25,2026-07-29,Ýstanbul
SO-100108,3,C1004,MAT-1003,8,62.00,2026-07-29,Ýstanbul
SO-100109,1,C1016,MAT-1010,40,4.60,28.07.2026,Gaziantep
SO-100109,2,C1016,MAT-1013,12,295.00,28.07.2026,Gaziantep
SO-100110,1,C1009,MAT-1004,20,1.85,2026-07-12,Ýzmir
SO-100111,1,C1010,MAT-1015,2,41.25,2026-07-05,Ýzmir
SO-100111,2,C1010,MAT-1011,40,1250.00,2026-07-05,Ýzmir
SO-100111,3,C1010,MAT-1016,100,185.00,2026-07-05,Ýzmir
SO-100112,1,C1005,MAT-1016,10,185.00,2026-07-06,Kýrþehir
SO-100112,2,C1005,MAT-1009,10,22.50,2026-07-06,Kýrþehir
SO-100112,3,C1005,MAT-1012,1,58.30,2026-07-06,Kýrþehir
SO-100113,1,C1016,MAT-1001,20,145.50,2026-07-22,Diyarbakýr
SO-100113,2,C1016,MAT-1011,10,1250.00,2026-07-22,Diyarbakýr
SO-100114,1,C1017,MAT-1010,8,4.60,2026-07-11,Kütahya
SO-100114,2,C1017,MAT-1016,8,185.00,2026-07-11,Kütahya
SO-100115,1,C1017,MAT-1013,40,295.00,2026-07-16,Ýstanbul
SO-100115,2,C1017,MAT-1001,5,145.50,2026-07-16,Ýstanbul
SO-100115,3,C1017,MAT-1016,2,185.00,2026-07-16,Ýstanbul
SO-100116,1,C1019,MAT-1015,100,41.25,2026-07-26,Çorum
SO-100117,1,C1005,MAT-1015,40,41.25,24.07.2026,Kütahya
SO-100118,1,C1008,MAT-1012,8,58.30,2026-07-17,Muðla
SO-100118,2,C1008,MAT-1009,2,22.50,2026-07-17,Muðla
SO-100119,1,C1013,MAT-1018,12,94.60,2026-07-13,Bursa
SO-100119,2,C1013,MAT-1003,8,62.00,2026-07-13,Bursa
SO-100119,3,C1013,MAT-1013,12,295.00,2026-07-13,Bursa
SO-100120,1,C1011,MAT-1013,3,295.00,15.07.2026,Diyarbakýr
SO-100120,2,C1011,MAT-1001,3,145.50,15.07.2026,Diyarbakýr
SO-100120,3,C1011,MAT-1004,1,1.85,15.07.2026,Diyarbakýr
SO-100120,4,C1011,MAT-1005,2,34.20,15.07.2026,Diyarbakýr
SO-100121,1,C1002,MAT-1010,150,4.60,07/27/2026,Ýstanbul
SO-100122,1,C1001,MAT-1003,2,62.00,19.07.2026,Kýrþehir
SO-100122,2,C1001,MAT-1002,100,89.75,19.07.2026,Kýrþehir
SO-100123,1,C1008,MAT-1012,20,58.30,2026-07-05,Ýstanbul
SO-100123,2,C1008,MAT-1018,20,94.60,2026-07-05,Ýstanbul
SO-100123,3,C1008,MAT-1010,12,4.60,2026-07-05,Ýstanbul
SO-100123,4,C1008,MAT-1015,100,41.25,2026-07-05,Ýstanbul
SO-100124,1,C1015,MAT-1011,10,1250.00,2026-07-03,Çorum
SO-100124,2,C1015,MAT-1004,8,1.85,2026-07-03,Çorum
SO-100125,1,C1008,MAT-1012,2,58.30,2026-07-30,Nevþehir
SO-100125,2,C1008,MAT-1017,25,310.00,2026-07-30,Nevþehir
SO-100125,3,C1008,MAT-1004,150,1.85,2026-07-30,Nevþehir
SO-100126,1,C1002,MAT-1008,40,76.40,2026-07-25,Þanlýurfa
SO-100126,2,C1002,MAT-1006,12,128.90,2026-07-25,Þanlýurfa
SO-100126,3,C1002,MAT-1010,50,4.60,2026-07-25,Þanlýurfa
SO-100127,1,C1003,MAT-1012,200,58.30,07/28/2026,Muðla
SO-100127,2,C1003,MAT-1016,100,185.00,07/28/2026,Muðla
SO-100128,1,C1018,MAT-1015,3,41.25,2026-07-09,Diyarbakýr
SO-100128,2,C1018,MAT-1008,8,76.40,2026-07-09,Diyarbakýr
SO-100129,1,C1010,MAT-1014,5,67.80,2026-07-10,Muðla
SO-100129,2,C1010,MAT-1009,12,22.50,2026-07-10,Muðla
SO-100129,3,C1010,MAT-1001,2,145.50,2026-07-10,Muðla
SO-100129,4,C1010,MAT-1004,25,1.85,2026-07-10,Muðla
SO-100130,1,C1013,MAT-1003,20,62.00,13.07.2026,Çorum
SO-100130,2,C1013,MAT-1006,3,128.90,13.07.2026,Çorum
SO-100130,3,C1013,MAT-1014,10,67.80,13.07.2026,Çorum
SO-100131,1,C1011,MAT-1011,25,1250.00,2026-07-05,Aðrý
SO-100131,2,C1011,MAT-1017,3,310.00,2026-07-05,Aðrý
SO-100131,3,C1011,MAT-1008,50,76.40,2026-07-05,Aðrý
SO-100131,4,C1011,MAT-1018,3,94.60,2026-07-05,Aðrý
SO-100132,1,C1002,MAT-1011,150,1250.00,04.07.2026,Kýrþehir
SO-100132,2,C1002,MAT-1013,12,295.00,04.07.2026,Kýrþehir
SO-100133,1,C1005,MAT-1005,150,34.20,2026-07-25,Gaziantep
SO-100133,2,C1005,MAT-1015,8,41.25,2026-07-25,Gaziantep
SO-100133,3,C1005,MAT-1006,50,128.90,2026-07-25,Gaziantep
SO-100134,1,C1011,MAT-1008,50,76.40,2026-07-03,Aðrý
SO-100135,1,C1014,MAT-1018,25,94.60,2026-07-14,Muðla
SO-100135,2,C1014,MAT-1004,1,1.85,2026-07-14,Muðla
SO-100136,1,C1009,MAT-1007,5,410.00,2026-07-05,Bursa
SO-100136,2,C1009,MAT-1005,150,34.20,2026-07-05,Bursa
SO-100137,1,C1019,MAT-1011,20,1250.00,2026-07-23,Diyarbakýr
SO-100137,2,C1019,MAT-1003,150,62.00,2026-07-23,Diyarbakýr
SO-100137,3,C1019,MAT-1017,50,310.00,2026-07-23,Diyarbakýr
SO-100137,4,C1019,MAT-1006,200,128.90,2026-07-23,Diyarbakýr
SO-100138,1,C1015,MAT-1010,50,4.60,01.07.2026,Aðrý
SO-100138,2,C1015,MAT-1003,12,62.00,01.07.2026,Aðrý
SO-100138,3,C1015,MAT-1001,1,145.50,01.07.2026,Aðrý
SO-100139,1,C1011,MAT-1002,100,89.75,06.07.2026,Nevþehir
SO-100139,2,C1011,MAT-1017,8,310.00,06.07.2026,Nevþehir
SO-100139,3,C1011,MAT-1008,40,76.40,06.07.2026,Nevþehir
SO-100140,1,C1002,MAT-1004,25,1.85,2026-07-06,Aðrý
SO-100140,2,C1002,MAT-1015,20,41.25,2026-07-06,Aðrý
SO-100140,3,C1002,MAT-1006,12,128.90,2026-07-06,Aðrý
SO-100140,4,C1002,MAT-1008,8,76.40,2026-07-06,Aðrý
SO-100141,1,C1007,MAT-1006,150,128.90,2026-07-14,Çorum
SO-100141,2,C1007,MAT-1003,20,62.00,2026-07-14,Çorum
