Auftragsnummer;Position;Kundennummer;Materialnummer;Menge;Preis;Bestelldatum;Waehrung
DE-500020;1;C1010;MAT-1016;1.500;5,21;28.07.2026;EUR
DE-500020;2;C1010;MAT-1003;1.500;1,75;06.07.2026;EUR
DE-500020;3;C1010;MAT-1002;25;2,53;08.07.2026;EUR
DE-500021;1;C1016;MAT-1011;5;35,21;12.07.2026;EUR
DE-500021;2;C1016;MAT-1001;5;4,10;06.07.2026;EUR
DE-500021;3;C1016;MAT-1017;100;8,73;06.07.2026;EUR
DE-500022;1;C1002;MAT-1011;10;35,21;29.07.2026;EUR
DE-500022;2;C1002;MAT-1003;100;1,75;25.07.2026;EUR
DE-500022;3;C1002;MAT-1003;1.500;1,75;28.07.2026;EUR
DE-500023;1;C1010;MAT-1017;12,5;8,73;16.07.2026;EUR
DE-500023;2;C1010;MAT-1009;40;0,63;07.07.2026;EUR
DE-500024;1;C1011;MAT-1008;2;2,15;19.07.2026;EUR
DE-500024;2;C1011;MAT-1018;40;2,66;27.07.2026;EUR
DE-500025;1;C1014;MAT-1011;25;35,21;02.07.2026;EUR
DE-500025;2;C1014;MAT-1011;10;35,21;23.07.2026;EUR
DE-500026;1;C1015;MAT-1005;100;0,96;11.07.2026;EUR
DE-500027;1;C1004;MAT-1011;1.500;35,21;12.07.2026;EUR
DE-500027;2;C1004;MAT-1017;5;8,73;11.07.2026;EUR
DE-500028;1;C1007;MAT-1001;12,5;4,10;20.07.2026;EUR
DE-500028;2;C1007;MAT-1012;5;1,64;25.07.2026;EUR
DE-500028;3;C1007;MAT-1007;100;11,55;25.07.2026;EUR
DE-500029;1;C1008;MAT-1015;100;1,16;08.07.2026;EUR
DE-500029;2;C1008;MAT-1017;12,5;8,73;08.07.2026;EUR
DE-500029;3;C1008;MAT-1001;12,5;4,10;24.07.2026;EUR
DE-500030;1;C1015;MAT-1008;5;2,15;11.07.2026;EUR
DE-500030;2;C1015;MAT-1010;5;0,13;16.07.2026;EUR
DE-500030;3;C1015;MAT-1018;25;2,66;05.07.2026;EUR
DE-500031;1;C1003;MAT-1017;2;8,73;17.07.2026;EUR
DE-500031;2;C1003;MAT-1015;12,5;1,16;18.07.2026;EUR
DE-500031;3;C1003;MAT-1001;40;4,10;04.07.2026;EUR
DE-500032;1;C1016;MAT-1018;5;2,66;13.07.2026;EUR
DE-500032;2;C1016;MAT-1015;2;1,16;21.07.2026;EUR
DE-500032;3;C1016;MAT-1011;10;35,21;26.07.2026;EUR
DE-500033;1;C1017;MAT-1008;100;2,15;10.07.2026;EUR
DE-500034;1;C1020;MAT-1003;10;1,75;16.07.2026;EUR
DE-500034;2;C1020;MAT-1007;25;11,55;19.07.2026;EUR
DE-500034;3;C1020;MAT-1008;1.500;2,15;29.07.2026;EUR
DE-500035;1;C1003;MAT-1011;12,5;35,21;30.07.2026;EUR
DE-500035;2;C1003;MAT-1001;25;4,10;15.07.2026;EUR
DE-500036;1;C1007;MAT-1018;5;2,66;15.07.2026;EUR
DE-500037;1;C1010;MAT-1008;5;2,15;03.07.2026;EUR
DE-500037;2;C1010;MAT-1013;10;8,31;21.07.2026;EUR
DE-500037;3;C1010;MAT-1014;2;1,91;18.07.2026;EUR
DE-500038;1;C1007;MAT-1007;40;11,55;01.07.2026;EUR
DE-500038;2;C1007;MAT-1015;12,5;1,16;11.07.2026;EUR
DE-500039;1;C1001;MAT-1013;1.500;8,31;25.07.2026;EUR
DE-500040;1;C1007;MAT-1005;5;0,96;29.07.2026;EUR
DE-500041;1;C1005;MAT-1018;40;2,66;07.07.2026;EUR
DE-500042;1;C1015;MAT-1002;2;2,53;24.07.2026;EUR
DE-500042;2;C1015;MAT-1012;12,5;1,64;17.07.2026;EUR
DE-500043;1;C1015;MAT-1007;10;11,55;04.07.2026;EUR
DE-500043;2;C1015;MAT-1004;1.500;0,05;01.07.2026;EUR
DE-500044;1;C1004;MAT-1012;12,5;1,64;16.07.2026;EUR
DE-500044;2;C1004;MAT-1012;10;1,64;06.07.2026;EUR
DE-500044;3;C1004;MAT-1002;5;2,53;14.07.2026;EUR
DE-500045;1;C1001;MAT-1009;100;0,63;02.07.2026;EUR
DE-500045;2;C1001;MAT-1015;100;1,16;02.07.2026;EUR
DE-500045;3;C1001;MAT-1005;100;0,96;30.07.2026;EUR
DE-500046;1;C1002;MAT-1003;100;1,75;18.07.2026;EUR
DE-500046;2;C1002;MAT-1016;12,5;5,21;03.07.2026;EUR
DE-500047;1;C1010;MAT-1004;2;0,05;10.07.2026;EUR
DE-500048;1;C1013;MAT-1007;100;11,55;21.07.2026;EUR
DE-500048;2;C1013;MAT-1009;40;0,63;05.07.2026;EUR
DE-500049;1;C1008;MAT-1011;2;35,21;19.07.2026;EUR
DE-500049;2;C1008;MAT-1010;40;0,13;04.07.2026;EUR
DE-500049;3;C1008;MAT-1002;1.500;2,53;07.07.2026;EUR
DE-500050;1;C1010;MAT-1005;1.500;0,96;19.07.2026;EUR
DE-500050;2;C1010;MAT-1003;40;1,75;28.07.2026;EUR
DE-500051;1;C1017;MAT-1011;40;35,21;23.07.2026;EUR
DE-500051;2;C1017;MAT-1013;100;8,31;26.07.2026;EUR
DE-500051;3;C1017;MAT-1018;10;2,66;24.07.2026;EUR
DE-500052;1;C1009;MAT-1018;1.500;2,66;19.07.2026;EUR
DE-500052;2;C1009;MAT-1012;5;1,64;22.07.2026;EUR
DE-500052;3;C1009;MAT-1016;12,5;5,21;30.07.2026;EUR
DE-500053;1;C1016;MAT-1018;25;2,66;25.07.2026;EUR
DE-500054;1;C1007;MAT-1006;40;3,63;19.07.2026;EUR
DE-500054;2;C1007;MAT-1017;100;8,73;08.07.2026;EUR
DE-500054;3;C1007;MAT-1018;25;2,66;21.07.2026;EUR
DE-500055;1;C1002;MAT-1003;2;1,75;03.07.2026;EUR
DE-500055;2;C1002;MAT-1016;12,5;5,21;30.07.2026;EUR
DE-500055;3;C1002;MAT-1008;40;2,15;13.07.2026;EUR
DE-500056;1;C1014;MAT-1018;1.500;2,66;01.07.2026;EUR
DE-500056;2;C1014;MAT-1002;100;2,53;11.07.2026;EUR
DE-500056;3;C1014;MAT-1003;40;1,75;26.07.2026;EUR
DE-500057;1;C1001;MAT-1017;25;8,73;24.07.2026;EUR
DE-500058;1;C1013;MAT-1018;25;2,66;20.07.2026;EUR
DE-500058;2;C1013;MAT-1004;25;0,05;03.07.2026;EUR
DE-500059;1;C1009;MAT-1014;25;1,91;24.07.2026;EUR
DE-500060;1;C1013;MAT-1017;40;8,73;04.07.2026;EUR
